relative_path,file_name,extension,size_bytes,sha256,modified_time,is_archive,is_document,is_source,is_model,is_image,is_tool,is_extracted,year_tokens,version_tokens
examples/开源工程/EdgeBoard赛事专用卡-开源工程说明.pdf,EdgeBoard赛事专用卡-开源工程说明.pdf,.pdf,2037055,3e5d7d3ea07f483fe5083ac8ba94fb070c54e3438d9e696f5e29ad90dd32853b,2026-07-15T21:54:02.830175+08:00,false,true,false,false,false,false,false,,
examples/开源工程/extracted/icar_autopilot_2025th/.extraction_complete.json,.extraction_complete.json,.json,371,78cded1830c1c64177ee8710bcd39c50f9f8de663e7b7a0ff66d90b17d539d8a,2026-07-15T23:09:27.325223+08:00,false,false,true,false,false,false,true,2025th,
examples/开源工程/extracted/icar_autopilot_2025th/icar_autopilot_2025th/.vscode/settings.json,settings.json,.json,1787,e987b8229d67049fa575f0e5615727ca1e45a679f69f0721b8abd4385c70cd08,2026-07-15T23:09:27.183666+08:00,false,false,true,false,false,false,true,2025th,
examples/开源工程/extracted/icar_autopilot_2025th/icar_autopilot_2025th/build/boot,boot,,112248,6379b0ab9f6d1d0afcb72c87846901b36d05f76d69ba214b22af1c5f80cf30d1,2026-07-15T23:09:27.173472+08:00,false,false,false,false,false,false,true,2025th,
examples/开源工程/extracted/icar_autopilot_2025th/icar_autopilot_2025th/build/calibration,calibration,,460000,6c68c7f48acfde8557247382a18818d46ec6c2e14781c3ccae5e635ca2ec0f6f,2026-07-15T23:09:27.180233+08:00,false,false,false,false,false,false,true,2025th,
examples/开源工程/extracted/icar_autopilot_2025th/icar_autopilot_2025th/build/camera,camera,,165784,53fa816cf9447583e8222d20d5666a537c1efff797f6494c03b487469bd9509a,2026-07-15T23:09:26.854472+08:00,false,false,false,false,false,false,true,2025th,
examples/开源工程/extracted/icar_autopilot_2025th/icar_autopilot_2025th/build/cmake_install.cmake,cmake_install.cmake,.cmake,1531,ca87892361f5de03aabdb944c9bb1e2c7c60cc6cd34ae2fd5159b1779b1a80dc,2026-07-15T23:09:27.174474+08:00,false,false,true,false,false,false,true,2025th,
examples/开源工程/extracted/icar_autopilot_2025th/icar_autopilot_2025th/build/CMakeCache.txt,CMakeCache.txt,.txt,18577,e0a0ad7cfdd33e3146a30f10b707cec75a6b93361048bf02d09d23f288087d74,2026-07-15T23:09:27.158251+08:00,false,true,false,false,false,false,true,2025th,
examples/开源工程/extracted/icar_autopilot_2025th/icar_autopilot_2025th/build/CMakeFiles/3.10.2/CMakeCCompiler.cmake,CMakeCCompiler.cmake,.cmake,2224,cf9a19cbb84e6f52e558eec8e1abe9afde5bbc3c67d8010b666ff45f76686032,2026-07-15T23:09:26.926971+08:00,false,false,true,false,false,false,true,2025th,3.10.2
examples/开源工程/extracted/icar_autopilot_2025th/icar_autopilot_2025th/build/CMakeFiles/3.10.2/CMakeCXXCompiler.cmake,CMakeCXXCompiler.cmake,.cmake,4854,64ac629dbc82b9968beeb4de20d096f30d168b60d56a29911e090e066102a45e,2026-07-15T23:09:26.925972+08:00,false,false,true,false,false,false,true,2025th,3.10.2
examples/开源工程/extracted/icar_autopilot_2025th/icar_autopilot_2025th/build/CMakeFiles/3.10.2/CMakeDetermineCompilerABI_C.bin,CMakeDetermineCompilerABI_C.bin,.bin,9064,3dc896e42824ed7a9e588f013957ff4b3f01da31d78ab8bf686563004b03c5e5,2026-07-15T23:09:26.928972+08:00,false,false,false,false,false,false,true,2025th,3.10.2
examples/开源工程/extracted/icar_autopilot_2025th/icar_autopilot_2025th/build/CMakeFiles/3.10.2/CMakeDetermineCompilerABI_CXX.bin,CMakeDetermineCompilerABI_CXX.bin,.bin,9248,c28cfb457c68fb427efd6335ba5cf87bfb06f17fd458ef43222105e358704006,2026-07-15T23:09:26.930478+08:00,false,false,false,false,false,false,true,2025th,3.10.2
examples/开源工程/extracted/icar_autopilot_2025th/icar_autopilot_2025th/build/CMakeFiles/3.10.2/CMakeSystem.cmake,CMakeSystem.cmake,.cmake,364,38c7e0c7b4c8054d6e06c9fb91882f31ea9f448bd5c2fe62941fbb200898e38e,2026-07-15T23:09:26.927971+08:00,false,false,true,false,false,false,true,2025th,3.10.2
examples/开源工程/extracted/icar_autopilot_2025th/icar_autopilot_2025th/build/CMakeFiles/3.10.2/CompilerIdC/a.out,a.out,.out,9248,d57b14ea30a674b75f24f5c4cedcae576633ef308f590b009d910a84c5ca5efb,2026-07-15T23:09:26.932486+08:00,false,false,false,false,false,false,true,2025th,3.10.2
