relative_path,sha256,size_bytes,pages,text_pages,text_characters,status,error,text_output
examples/开源工程/EdgeBoard赛事专用卡-开源工程说明.pdf,3e5d7d3ea07f483fe5083ac8ba94fb070c54e3438d9e696f5e29ad90dd32853b,2037055,15,15,4559,PARSED,,docs/sources/organizer_pdf_text/examples_开源工程_EdgeBoard赛事专用卡-开源工程说明.md
hardware/board_image/赛事专用卡-镜像开源资料/01-镜像工具/extracted/DRIVER_R4.19.5001/DRIVER_R4.19.5001/Doc/Driver Install and Uninstall Guide.pdf,3c6ae0a5f997bb693b33918fc1b1caa8155da55c82fedb08e5b1f693a468367b,1836675,13,13,5618,PARSED,,docs/sources/organizer_pdf_text/hardware_board_image_赛事专用卡-镜像开源资料_01-镜像工具_extracted_DRIVER_R4.19.5001_DRIVER_R4.19.5001_Doc_Driver_Install_and_Uninstall_Guide.md
hardware/board_image/赛事专用卡-镜像开源资料/01-镜像工具/extracted/产线-Upgrade_Download_R27.22.3801/Upgrade_Download_R27.22.3801/Download_R27.22.3801/Doc/Customized/Flash操作/Download_ReadFlash_客制化动态库使用说明.pdf,3f1370498fc9020830a0cace74c914e7192e262c6ecd968a0e5f117365ee81e3,537692,9,9,8312,PARSED,,docs/sources/organizer_pdf_text/hardware_board_image_赛事专用卡-镜像开源资料_01-镜像工具_extracted_产线-Upgrade_Download_R27.22.3801_Upgrade_Download_R27.22.3801_Download_R27.22.3801_Doc_Customized_Flash操作_Download_ReadFlash_客制化动态库使用说明.md
hardware/board_image/赛事专用卡-镜像开源资料/01-镜像工具/extracted/产线-Upgrade_Download_R27.22.3801/Upgrade_Download_R27.22.3801/Download_R27.22.3801/Doc/Customized/鉴权/Download_AUTH_客制化动态库使用说明.pdf,a536da99b663602b7368e723bd969f1dca8667806a1c12548e5615fe03a39109,492271,6,6,4316,PARSED,,docs/sources/organizer_pdf_text/hardware_board_image_赛事专用卡-镜像开源资料_01-镜像工具_extracted_产线-Upgrade_Download_R27.22.3801_Upgrade_Download_R27.22.3801_Download_R27.22.3801_Doc_Customized_鉴权_Download_AUTH_客制化动态库使用说明.md
hardware/board_image/赛事专用卡-镜像开源资料/01-镜像工具/extracted/产线-Upgrade_Download_R27.22.3801/Upgrade_Download_R27.22.3801/Download_R27.22.3801/Doc/Customized/鉴权/下载模式鉴权交互说明-CN.pdf,a4e54df2d3058cc48d8e51e1d5b8b30ab52d9a84d7e4ea7cd4f3520b307fc8c4,728728,6,6,3785,PARSED,,docs/sources/organizer_pdf_text/hardware_board_image_赛事专用卡-镜像开源资料_01-镜像工具_extracted_产线-Upgrade_Download_R27.22.3801_Upgrade_Download_R27.22.3801_Download_R27.22.3801_Doc_Customized_鉴权_下载模式鉴权交互说明-CN.md
hardware/board_image/赛事专用卡-镜像开源资料/01-镜像工具/extracted/产线-Upgrade_Download_R27.22.3801/Upgrade_Download_R27.22.3801/Download_R27.22.3801/Doc/Download Tool User Guide V4.3.pdf,1b5fb35c518a2a44b8f0728f0fab42dc566462ccd4410babeb46046d12c3c9a7,1848590,58,58,93610,PARSED,,docs/sources/organizer_pdf_text/hardware_board_image_赛事专用卡-镜像开源资料_01-镜像工具_extracted_产线-Upgrade_Download_R27.22.3801_Upgrade_Download_R27.22.3801_Download_R27.22.3801_Doc_Download_Tool_User_Guide_V4.3.md
hardware/board_image/赛事专用卡-镜像开源资料/01-镜像工具/extracted/产线-Upgrade_Download_R27.22.3801/Upgrade_Download_R27.22.3801/Download_R27.22.3801/Doc/Download动态库下载使用说明1.1.pdf,2c3afe390e98b05f02b365bd0169687932bc1e036c38d521b524242e05d8be0b,1136985,19,19,18368,PARSED,,docs/sources/organizer_pdf_text/hardware_board_image_赛事专用卡-镜像开源资料_01-镜像工具_extracted_产线-Upgrade_Download_R27.22.3801_Upgrade_Download_R27.22.3801_Download_R27.22.3801_Doc_Download动态库下载使用说明1.1.md
hardware/board_image/赛事专用卡-镜像开源资料/01-镜像工具/extracted/产线-Upgrade_Download_R27.22.3801/Upgrade_Download_R27.22.3801/Download_R27.22.3801/Doc/下载工具使用指南V4.3.pdf,ec76062de72296ab8bd984a66107fdc283a4535859b1e34ab1d2723fe8b39f30,2471359,53,53,53146,PARSED,,docs/sources/organizer_pdf_text/hardware_board_image_赛事专用卡-镜像开源资料_01-镜像工具_extracted_产线-Upgrade_Download_R27.22.3801_Upgrade_Download_R27.22.3801_Download_R27.22.3801_Doc_下载工具使用指南V4.3.md
hardware/board_image/赛事专用卡-镜像开源资料/EdgeBoard赛事专用卡-镜像烧写说明.pdf,a7570b8ab1af4ea52c3aec23ddfba6a00affa0df1f61760100781862fd8e2baf,2387090,21,21,5260,PARSED,,docs/sources/organizer_pdf_text/hardware_board_image_赛事专用卡-镜像开源资料_EdgeBoard赛事专用卡-镜像烧写说明.md
hardware/control_board/智能汽车竞赛-开源资料及智控板使用教程/智能汽车竞赛-开源资料及智控板使用教程.pdf,c6a48327b3f327e5f38185631f5214f7fd9d5e4e724f7ffc4016bbff27c6806e,4353151,23,23,8585,PARSED,,docs/sources/organizer_pdf_text/hardware_control_board_智能汽车竞赛-开源资料及智控板使用教程_智能汽车竞赛-开源资料及智控板使用教程.md
hardware/remote_access/赛事专用卡-远程操作资料/EdgeBoard赛事专用卡-远程操作说明.pdf,9292ee31ffbe418f68b6a3d0a04d0c2e55e1c740a14e08178156c532eca7b149,2307380,16,16,4922,PARSED,,docs/sources/organizer_pdf_text/hardware_remote_access_赛事专用卡-远程操作资料_EdgeBoard赛事专用卡-远程操作说明.md
maps/场地资料/AIC2025-场地喷绘加工（4.7x4.2m）-推荐油画布.pdf,ad86b39bc72f0cbc0ab5dac72bec4ab76a741ea5c042c0d7dac62465fa1daf3a,55402537,1,0,0,PARSED,,docs/sources/organizer_pdf_text/maps_场地资料_AIC2025-场地喷绘加工_4.7x4.2m_-推荐油画布.md
maps/场地资料/标牌加工/AIC2025-场地贴纸加工.pdf,6347fe3343b28b4516cd2e7a51c6fab64b645ca9c97d4b6d5314ea446e431446,6359714,8,8,144,PARSED,,docs/sources/organizer_pdf_text/maps_场地资料_标牌加工_AIC2025-场地贴纸加工.md
models/training/模型训练及部署/目标检测模型训练及部署教程 (FZ3B+SSD).pdf,412f20a6055d0a540c85c37273134ebe89d599a939735886475e4c7d82254cc9,1056075,11,11,3550,PARSED,,docs/sources/organizer_pdf_text/models_training_模型训练及部署_目标检测模型训练及部署教程_FZ3B_SSD.md
models/training/模型训练及部署/目标检测模型训练及部署教程 (T710+Yolov3).pdf,3294545b0a3411ea0abbee51d052587674fc81c9c716418b4f16b22c2f0f0fdf,7022160,33,33,13026,PARSED,,docs/sources/organizer_pdf_text/models_training_模型训练及部署_目标检测模型训练及部署教程_T710_Yolov3.md
sdk/model_compiler/赛事专用卡-模型编译教程/赛事专用卡-模型编译教程.pdf,3296fd3f07c4b406449c02fc69be0a7f078f56504d15694a2040a37b08396ffa,1972650,18,18,4731,PARSED,,docs/sources/organizer_pdf_text/sdk_model_compiler_赛事专用卡-模型编译教程_赛事专用卡-模型编译教程.md
